,n,L,total_attempts,total_successes,total_collisions,collision_rate,success_rate,throughput,per_node
208,3,9,931,758,173,0.1858216970998926,0.8141783029001074,0.6822,"[{'tx': 335, 'success': 278, 'collisions': 57}, {'tx': 332, 'success': 277, 'collisions': 55}, {'tx': 264, 'success': 203, 'collisions': 61}]"
209,3,10,836,692,144,0.1722488038277512,0.8277511961722488,0.692,"[{'tx': 245, 'success': 194, 'collisions': 51}, {'tx': 273, 'success': 227, 'collisions': 46}, {'tx': 318, 'success': 271, 'collisions': 47}]"
210,3,11,794,644,150,0.1889168765743073,0.8110831234256927,0.7084,"[{'tx': 226, 'success': 173, 'collisions': 53}, {'tx': 286, 'success': 235, 'collisions': 51}, {'tx': 282, 'success': 236, 'collisions': 46}]"
211,3,12,742,596,146,0.1967654986522911,0.8032345013477089,0.7152,"[{'tx': 261, 'success': 217, 'collisions': 44}, {'tx': 239, 'success': 188, 'collisions': 51}, {'tx': 242, 'success': 191, 'collisions': 51}]"
212,3,13,710,555,155,0.21830985915492956,0.7816901408450704,0.7215,"[{'tx': 233, 'success': 179, 'collisions': 54}, {'tx': 246, 'success': 193, 'collisions': 53}, {'tx': 231, 'success': 183, 'collisions': 48}]"
213,3,14,657,535,122,0.1856925418569254,0.8143074581430746,0.749,"[{'tx': 236, 'success': 196, 'collisions': 40}, {'tx': 213, 'success': 171, 'collisions': 42}, {'tx': 208, 'success': 168, 'collisions': 40}]"
214,3,15,598,484,114,0.19063545150501673,0.8093645484949833,0.726,"[{'tx': 216, 'success': 181, 'collisions': 35}, {'tx': 168, 'success': 130, 'collisions': 38}, {'tx': 214, 'success': 173, 'collisions': 41}]"
215,3,16,591,477,114,0.19289340101522842,0.8071065989847716,0.7632,"[{'tx': 205, 'success': 164, 'collisions': 41}, {'tx': 186, 'success': 149, 'collisions': 37}, {'tx': 200, 'success': 164, 'collisions': 36}]"
216,3,17,556,441,115,0.2068345323741007,0.7931654676258992,0.7497,"[{'tx': 168, 'success': 130, 'collisions': 38}, {'tx': 203, 'success': 164, 'collisions': 39}, {'tx': 185, 'success': 147, 'collisions': 38}]"
217,3,18,515,425,90,0.17475728155339806,0.8252427184466019,0.765,"[{'tx': 207, 'success': 171, 'collisions': 36}, {'tx': 203, 'success': 174, 'collisions': 29}, {'tx': 105, 'success': 80, 'collisions': 25}]"
218,3,19,501,425,76,0.15169660678642716,0.8483033932135728,0.8075,"[{'tx': 175, 'success': 148, 'collisions': 27}, {'tx': 161, 'success': 136, 'collisions': 25}, {'tx': 165, 'success': 141, 'collisions': 24}]"
219,3,20,482,402,80,0.16597510373443983,0.8340248962655602,0.804,"[{'tx': 159, 'success': 129, 'collisions': 30}, {'tx': 177, 'success': 158, 'collisions': 19}, {'tx': 146, 'success': 115, 'collisions': 31}]"
220,3,21,452,368,84,0.18584070796460178,0.8141592920353983,0.7728,"[{'tx': 98, 'success': 71, 'collisions': 27}, {'tx': 186, 'success': 158, 'collisions': 28}, {'tx': 168, 'success': 139, 'collisions': 29}]"
221,3,22,442,366,76,0.17194570135746606,0.8280542986425339,0.8052,"[{'tx': 150, 'success': 124, 'collisions': 26}, {'tx': 143, 'success': 119, 'collisions': 24}, {'tx': 149, 'success': 123, 'collisions': 26}]"
222,3,23,420,346,74,0.1761904761904762,0.8238095238095238,0.7958,"[{'tx': 160, 'success': 139, 'collisions': 21}, {'tx': 116, 'success': 88, 'collisions': 28}, {'tx': 144, 'success': 119, 'collisions': 25}]"
223,3,24,415,332,83,0.2,0.8,0.7968,"[{'tx': 132, 'success': 105, 'collisions': 27}, {'tx': 144, 'success': 115, 'collisions': 29}, {'tx': 139, 'success': 112, 'collisions': 27}]"
224,3,25,397,322,75,0.1889168765743073,0.8110831234256927,0.805,"[{'tx': 124, 'success': 99, 'collisions': 25}, {'tx': 138, 'success': 112, 'collisions': 26}, {'tx': 135, 'success': 111, 'collisions': 24}]"
225,3,26,382,304,78,0.20418848167539266,0.7958115183246073,0.7904,"[{'tx': 141, 'success': 117, 'collisions': 24}, {'tx': 117, 'success': 89, 'collisions': 28}, {'tx': 124, 'success': 98, 'collisions': 26}]"
226,3,27,370,298,72,0.1945945945945946,0.8054054054054054,0.8046,"[{'tx': 124, 'success': 102, 'collisions': 22}, {'tx': 112, 'success': 89, 'collisions': 23}, {'tx': 134, 'success': 107, 'collisions': 27}]"
227,3,28,360,288,72,0.2,0.8,0.8064,"[{'tx': 139, 'success': 115, 'collisions': 24}, {'tx': 105, 'success': 83, 'collisions': 22}, {'tx': 116, 'success': 90, 'collisions': 26}]"
228,3,29,348,285,63,0.1810344827586207,0.8189655172413793,0.8265,"[{'tx': 117, 'success': 95, 'collisions': 22}, {'tx': 111, 'success': 90, 'collisions': 21}, {'tx': 120, 'success': 100, 'collisions': 20}]"
229,3,30,337,272,65,0.19287833827893175,0.8071216617210683,0.816,"[{'tx': 112, 'success': 92, 'collisions': 20}, {'tx': 111, 'success': 88, 'collisions': 23}, {'tx': 114, 'success': 92, 'collisions': 22}]"
230,3,31,327,265,62,0.18960244648318042,0.8103975535168195,0.8215,"[{'tx': 98, 'success': 76, 'collisions': 22}, {'tx': 119, 'success': 99, 'collisions': 20}, {'tx': 110, 'success': 90, 'collisions': 20}]"
231,3,32,313,258,55,0.1757188498402556,0.8242811501597445,0.8256,"[{'tx': 66, 'success': 48, 'collisions': 18}, {'tx': 126, 'success': 110, 'collisions': 16}, {'tx': 121, 'success': 100, 'collisions': 21}]"
232,3,33,302,261,41,0.1357615894039735,0.8642384105960265,0.8613,"[{'tx': 86, 'success': 73, 'collisions': 13}, {'tx': 105, 'success': 89, 'collisions': 16}, {'tx': 111, 'success': 99, 'collisions': 12}]"
233,3,34,298,243,55,0.18456375838926176,0.8154362416107382,0.8262,"[{'tx': 110, 'success': 94, 'collisions': 16}, {'tx': 90, 'success': 70, 'collisions': 20}, {'tx': 98, 'success': 79, 'collisions': 19}]"
234,3,35,290,244,46,0.15862068965517243,0.8413793103448276,0.854,"[{'tx': 94, 'success': 79, 'collisions': 15}, {'tx': 100, 'success': 85, 'collisions': 15}, {'tx': 96, 'success': 80, 'collisions': 16}]"
235,3,36,282,237,45,0.1595744680851064,0.8404255319148937,0.8532,"[{'tx': 95, 'success': 79, 'collisions': 16}, {'tx': 88, 'success': 75, 'collisions': 13}, {'tx': 99, 'success': 83, 'collisions': 16}]"
236,3,37,277,219,58,0.20938628158844766,0.7906137184115524,0.8103,"[{'tx': 78, 'success': 62, 'collisions': 16}, {'tx': 108, 'success': 89, 'collisions': 19}, {'tx': 91, 'success': 68, 'collisions': 23}]"
237,3,38,275,215,60,0.21818181818181817,0.7818181818181819,0.817,"[{'tx': 87, 'success': 63, 'collisions': 24}, {'tx': 86, 'success': 68, 'collisions': 18}, {'tx': 102, 'success': 84, 'collisions': 18}]"
238,3,39,264,215,49,0.1856060606060606,0.8143939393939394,0.8385,"[{'tx': 89, 'success': 74, 'collisions': 15}, {'tx': 86, 'success': 68, 'collisions': 18}, {'tx': 89, 'success': 73, 'collisions': 16}]"
239,3,40,258,212,46,0.17829457364341086,0.8217054263565892,0.848,"[{'tx': 94, 'success': 79, 'collisions': 15}, {'tx': 81, 'success': 64, 'collisions': 17}, {'tx': 83, 'success': 69, 'collisions': 14}]"
240,3,41,255,202,53,0.20784313725490197,0.792156862745098,0.8282,"[{'tx': 89, 'success': 75, 'collisions': 14}, {'tx': 84, 'success': 63, 'collisions': 21}, {'tx': 82, 'success': 64, 'collisions': 18}]"
241,3,42,254,193,61,0.24015748031496062,0.7598425196850394,0.8106,"[{'tx': 81, 'success': 59, 'collisions': 22}, {'tx': 70, 'success': 50, 'collisions': 20}, {'tx': 103, 'success': 84, 'collisions': 19}]"
242,3,43,240,200,40,0.16666666666666666,0.8333333333333334,0.86,"[{'tx': 78, 'success': 67, 'collisions': 11}, {'tx': 84, 'success': 68, 'collisions': 16}, {'tx': 78, 'success': 65, 'collisions': 13}]"
243,3,44,236,192,44,0.1864406779661017,0.8135593220338984,0.8448,"[{'tx': 75, 'success': 59, 'collisions': 16}, {'tx': 76, 'success': 60, 'collisions': 16}, {'tx': 85, 'success': 73, 'collisions': 12}]"
244,3,45,233,186,47,0.2017167381974249,0.7982832618025751,0.837,"[{'tx': 67, 'success': 56, 'collisions': 11}, {'tx': 82, 'success': 64, 'collisions': 18}, {'tx': 84, 'success': 66, 'collisions': 18}]"
245,3,46,227,183,44,0.19383259911894274,0.8061674008810573,0.8418,"[{'tx': 62, 'success': 45, 'collisions': 17}, {'tx': 75, 'success': 60, 'collisions': 15}, {'tx': 90, 'success': 78, 'collisions': 12}]"
246,3,47,219,186,33,0.1506849315068493,0.8493150684931506,0.8742,"[{'tx': 73, 'success': 64, 'collisions': 9}, {'tx': 68, 'success': 56, 'collisions': 12}, {'tx': 78, 'success': 66, 'collisions': 12}]"
247,3,48,218,176,42,0.1926605504587156,0.8073394495412844,0.8448,"[{'tx': 70, 'success': 54, 'collisions': 16}, {'tx': 71, 'success': 57, 'collisions': 14}, {'tx': 77, 'success': 65, 'collisions': 12}]"
248,3,49,216,171,45,0.20833333333333334,0.7916666666666666,0.8379,"[{'tx': 78, 'success': 64, 'collisions': 14}, {'tx': 68, 'success': 51, 'collisions': 17}, {'tx': 70, 'success': 56, 'collisions': 14}]"
249,3,50,212,166,46,0.2169811320754717,0.7830188679245284,0.83,"[{'tx': 61, 'success': 48, 'collisions': 13}, {'tx': 72, 'success': 54, 'collisions': 18}, {'tx': 79, 'success': 64, 'collisions': 15}]"
250,3,51,201,171,30,0.14925373134328357,0.8507462686567164,0.8721,"[{'tx': 57, 'success': 46, 'collisions': 11}, {'tx': 76, 'success': 69, 'collisions': 7}, {'tx': 68, 'success': 56, 'collisions': 12}]"
251,3,52,198,166,32,0.16161616161616163,0.8383838383838383,0.8632,"[{'tx': 90, 'success': 80, 'collisions': 10}, {'tx': 51, 'success': 42, 'collisions': 9}, {'tx': 57, 'success': 44, 'collisions': 13}]"
252,3,53,197,161,36,0.18274111675126903,0.817258883248731,0.8533,"[{'tx': 67, 'success': 56, 'collisions': 11}, {'tx': 72, 'success': 61, 'collisions': 11}, {'tx': 58, 'success': 44, 'collisions': 14}]"
253,3,54,195,156,39,0.2,0.8,0.8424,"[{'tx': 70, 'success': 58, 'collisions': 12}, {'tx': 56, 'success': 44, 'collisions': 12}, {'tx': 69, 'success': 54, 'collisions': 15}]"
254,3,55,190,157,33,0.1736842105263158,0.8263157894736842,0.8635,"[{'tx': 67, 'success': 58, 'collisions': 9}, {'tx': 59, 'success': 48, 'collisions': 11}, {'tx': 64, 'success': 51, 'collisions': 13}]"
255,3,56,191,150,41,0.21465968586387435,0.7853403141361257,0.84,"[{'tx': 60, 'success': 45, 'collisions': 15}, {'tx': 58, 'success': 42, 'collisions': 16}, {'tx': 73, 'success': 63, 'collisions': 10}]"
256,3,57,187,150,37,0.19786096256684493,0.8021390374331551,0.855,"[{'tx': 63, 'success': 49, 'collisions': 14}, {'tx': 71, 'success': 63, 'collisions': 8}, {'tx': 53, 'success': 38, 'collisions': 15}]"
257,3,58,184,146,38,0.20652173913043478,0.7934782608695652,0.8468,"[{'tx': 55, 'success': 43, 'collisions': 12}, {'tx': 67, 'success': 53, 'collisions': 14}, {'tx': 62, 'success': 50, 'collisions': 12}]"
